Asia,asia_mcd,Africa,africa_mcd,SouthAmerica,sthAm_mcd,Europe,europe_mcd,UnitedStates,us_mcd,Australia,aus_mcd
1.52,3.03,6.51,4.07,3.89,5,4.24,5.01,10,6.5,13.04,6.91
1.59,3.19,3.93,4.59,5.35,6.29,10.76,7.18,,,,
1.89,3.25,,,10,8.73,8.46,7.39,,,,
6.44,3.86,,,,,10.58,7.41,,,,
4,4,,,,,15.87,7.41,,,,
2.11,4.1,,,,,14.86,7.43,,,,
3.19,4.47,,,,,,,,,,
1.52,4.57,,,,,,,,,,
2.89,5.05,,,,,,,,,,
7.21,5.05,,,,,,,,,,
5.31,5.31,,,,,,,,,,
4,5.33,,,,,,,,,,
6.59,5.35,,,,,,,,,,
8.24,5.49,,,,,,,,,,
10.79,7.55,,,,,,,,,,
12.69,8.46,,,,,,,,,,
